dataset,baseline,perturbation,class,pearson_r,l2,split_type,baseline_type,class_name
adamson,lpm_k562PertEmb,SOCS1,Transcription,0.9380475986714482,1.7334612937006133,functional_class_holdout,lpm_k562PertEmb,Transcription
adamson,lpm_k562PertEmb,ZNF326,Transcription,0.7825221781751281,7.199347715723195,functional_class_holdout,lpm_k562PertEmb,Transcription
adamson,lpm_rpe1PertEmb,BHLHE40,Transcription,0.7759961165171225,5.5345482254467075,functional_class_holdout,lpm_rpe1PertEmb,Transcription
adamson,lpm_rpe1PertEmb,CHERP,Transcription,0.7550079407032616,3.2938388392456495,functional_class_holdout,lpm_rpe1PertEmb,Transcription
adamson,lpm_rpe1PertEmb,CREB1,Transcription,0.8134668473493958,5.542079167234641,functional_class_holdout,lpm_rpe1PertEmb,Transcription
adamson,lpm_rpe1PertEmb,SOCS1,Transcription,0.9441832076642186,1.4716762106014738,functional_class_holdout,lpm_rpe1PertEmb,Transcription
adamson,lpm_rpe1PertEmb,ZNF326,Transcription,0.8150924869540885,5.736045409782692,functional_class_holdout,lpm_rpe1PertEmb,Transcription
adamson,mean_response,BHLHE40,Transcription,-0.4151694252655682,10.843321800231934,functional_class_holdout,mean_response,Transcription
adamson,mean_response,CHERP,Transcription,0.7163257051222065,4.639759540557861,functional_class_holdout,mean_response,Transcription
adamson,mean_response,CREB1,Transcription,-0.4935260181868572,10.90609359741211,functional_class_holdout,mean_response,Transcription
adamson,mean_response,SOCS1,Transcription,0.87744825489274,2.7293355464935303,functional_class_holdout,mean_response,Transcription
adamson,mean_response,ZNF326,Transcription,-0.5261913960034383,11.280769348144531,functional_class_holdout,mean_response,Transcription
k562,lpm_selftrained,ABT1,Transcription,0.6917492457144913,3.3457704810361784,functional_class_holdout,,
k562,lpm_selftrained,ACTR6,Transcription,0.2352004554301081,3.937520448852585,functional_class_holdout,,
k562,lpm_selftrained,ALYREF,Transcription,0.5109134525076415,3.0036006721236563,functional_class_holdout,,
k562,lpm_selftrained,AQR,Transcription,0.8075634251724448,9.142205210778297,functional_class_holdout,,
k562,lpm_selftrained,ARGLU1,Transcription,0.3509088702225837,2.7304987984733313,functional_class_holdout,,
k562,lpm_selftrained,ARMC7,Transcription,0.4273674317311994,3.4703641829253353,functional_class_holdout,,
k562,lpm_selftrained,ATF5,Transcription,0.8000350006254953,4.968822267316377,functional_class_holdout,,
k562,lpm_selftrained,BCAS2,Transcription,0.671315672776292,4.912914395155202,functional_class_holdout,,
k562,lpm_selftrained,BMS1,Transcription,0.6272476964375211,7.223237470713205,functional_class_holdout,,
k562,lpm_selftrained,BOP1,Transcription,0.6173713752589562,2.8240089047934784,functional_class_holdout,,
k562,lpm_selftrained,BUD13,Transcription,0.7658299295027257,4.708570976348289,functional_class_holdout,,
k562,lpm_selftrained,BUD31,Transcription,0.4336904286484022,7.913748985871463,functional_class_holdout,,
k562,lpm_selftrained,CCNH,Transcription,0.6479047954290689,4.022101603752532,functional_class_holdout,,
k562,lpm_selftrained,CCNK,Transcription,0.4316250657490275,2.679636574478216,functional_class_holdout,,
k562,lpm_selftrained,CDC40,Transcription,0.6213561600584903,4.078454657956016,functional_class_holdout,,
k562,lpm_selftrained,CDC5L,Transcription,0.7880524300016496,5.5484325685492495,functional_class_holdout,,
k562,lpm_selftrained,CDK9,Transcription,0.2580634213810732,3.7272831591506095,functional_class_holdout,,
k562,lpm_selftrained,CHD4,Transcription,0.3900006376692031,6.3715226667106535,functional_class_holdout,,
k562,lpm_selftrained,CLP1,Transcription,0.3943903895537048,4.825113401775229,functional_class_holdout,,
k562,lpm_selftrained,CMTR1,Transcription,0.6039533654634924,4.7446218321195195,functional_class_holdout,,
k562,lpm_selftrained,CNOT1,Transcription,0.673579060606491,8.56984778314053,functional_class_holdout,,
k562,lpm_selftrained,CNOT2,Transcription,0.4723660459040085,5.194679042828824,functional_class_holdout,,
k562,lpm_selftrained,CPSF1,Transcription,0.4019728430176771,5.815156779922916,functional_class_holdout,,
k562,lpm_selftrained,CPSF3,Transcription,0.6250581154483152,4.276623445718765,functional_class_holdout,,
