dataset,baseline,test_perturbation,top_pct,local_train_size,local_mean_similarity,local_max_similarity,local_min_similarity,performance_local_pearson_r,performance_local_l2,performance_baseline_pearson_r,performance_baseline_l2,improvement_pearson_r,improvement_l2,baseline_type,pearson_r,l2,hardness,embedding_similarity,split_fraction
k562,lpm_k562PertEmb,ARCN1,0.05,39,0.9981727600097656,0.9993783831596376,0.9970200061798096,0.8476149530868138,2.5732559099391534,0.815176452667016,2.8312109873574127,0.0324385004197977,0.2579550774182593,lpm_k562PertEmb,0.8476149530868138,2.5732559099391534,0.9981727600097656,0.9981727600097656,0.0509803921568627
k562,lpm_k562PertEmb,ARCN1,0.1,77,0.9974363446235656,0.9993783831596376,0.9962755441665648,0.8537799080496542,2.5206567472296464,0.815176452667016,2.8312109873574127,0.0386034553826382,0.3105542401277663,lpm_k562PertEmb,0.8537799080496542,2.5206567472296464,0.9974363446235656,0.9974363446235656,0.1006535947712418
k562,lpm_k562PertEmb,CCT6A,0.01,8,0.9992040991783142,0.9996952414512634,0.9981416463851928,0.8301640058275823,4.052196541272137,0.5540678842603161,5.879813901393098,0.2760961215672662,1.8276173601209615,lpm_k562PertEmb,0.8301640058275823,4.052196541272137,0.9992040991783142,0.9992040991783142,0.0104575163398692
k562,lpm_k562PertEmb,CCT6A,0.05,39,0.9978010654449464,0.9996952414512634,0.9969483017921448,0.8616519002381011,3.5940722193720367,0.5540678842603161,5.879813901393098,0.307584015977785,2.2857416820210616,lpm_k562PertEmb,0.8616519002381011,3.5940722193720367,0.9978010654449464,0.9978010654449464,0.0509803921568627
k562,lpm_k562PertEmb,CCT6A,0.1,77,0.9971428513526917,0.9996952414512634,0.99607914686203,0.8615686175140369,3.67960808969762,0.5540678842603161,5.879813901393098,0.3075007332537208,2.2002058116954784,lpm_k562PertEmb,0.8615686175140369,3.67960808969762,0.9971428513526917,0.9971428513526917,0.1006535947712418
k562,lpm_k562PertEmb,PMF1,0.01,8,0.9995957612991332,0.999776005744934,0.9994691610336304,0.6832783625998096,2.6398159075922627,0.7751436593557814,2.282809770623591,-0.0918652967559718,-0.3570061369686717,lpm_k562PertEmb,0.6832783625998096,2.6398159075922627,0.9995957612991332,0.9995957612991332,0.0104575163398692
k562,lpm_k562PertEmb,PMF1,0.05,39,0.9991813898086548,0.999776005744934,0.99872487783432,0.7447415588264066,2.327269595274596,0.7751436593557814,2.282809770623591,-0.0304021005293748,-0.044459824651005,lpm_k562PertEmb,0.7447415588264066,2.327269595274596,0.9991813898086548,0.9991813898086548,0.0509803921568627
k562,lpm_k562PertEmb,PMF1,0.1,77,0.9988211989402772,0.999776005744934,0.9982382655143738,0.7697973627544181,2.2254701800425902,0.7751436593557814,2.282809770623591,-0.0053462966013633,0.0573395905810008,lpm_k562PertEmb,0.7697973627544181,2.2254701800425902,0.9988211989402772,0.9988211989402772,0.1006535947712418
k562,lpm_k562PertEmb,WBP11,0.01,8,0.9988461136817932,0.9993153214454652,0.9985349774360656,0.7594377607026812,4.062019876067696,0.8058625776890841,3.4290647616992187,-0.0464248169864028,-0.6329551143684773,lpm_k562PertEmb,0.7594377607026812,4.062019876067696,0.9988461136817932,0.9988461136817932,0.0104575163398692
k562,lpm_k562PertEmb,WBP11,0.05,39,0.9978326559066772,0.9993153214454652,0.9966513514518738,0.8028992755737221,3.5577648518741176,0.8058625776890841,3.4290647616992187,-0.0029633021153619,-0.1287000901748989,lpm_k562PertEmb,0.8028992755737221,3.5577648518741176,0.9978326559066772,0.9978326559066772,0.0509803921568627
